Stations,Annual,"Winter
(Dec 2013 - Feb 2014)","Pre-monsoon
(Mar - May)","Monsoon
(Jun - Sep)","Post-monsoon
(Oct - Nov)",,,,,,,,,,,,,,,
,Maximum,Minimum,Maximum,Minimum,Maximum,Minimum,Maximum,Minimum,Maximum,Minimum,,,,,,,,,,
,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal,Average,Departure from normal
Baitadi,22,X,7.5,X,18.9,X,4.7,X,22.9,X,8.1,X,24.5,X,9.5,X,21.7,X,7.5,X
Dadeldhura,21.7,1.1,10.8,0,16.3,1.3,4.2,-0.7,23.5,0.5,11.4,-0.4,25.8,1.5,17.3,0.7,21.1,1,10.2,0.3
Sundarpur,29.6,-0.4,17,0.5,21.2,-1.6,9.1,1,33.9,-0.2,17.2,-0.3,34.1,0.3,25.3,0.4,29.2,-0.2,16.2,1.1
Darchula,27.5,0.2,12.9,-0.1,19.4,-0.8,6.1,0.7,29.8,-0.4,13.6,-0.6,32.8,0.7,20.8,-0.1,28,1.5,11.3,-0.4
Bajura,23.2,X,10.8,X,16.4,X,4.2,X,25.4,X,11.1,X,28.3,X,18.4,X,22.8,X,9.6,X
Dhangadhi,30.1,-0.1,16.7,0,21.7,-1.3,9.4,1.2,34.6,0.1,16.9,-0.8,34.9,1.3,24.9,-0.2,29.3,-0.3,15.5,-0.1
Mangalsen,X,X,X,X,X,X,X,X,29.4,X,15.5,X,30.2,X,20.2,X,24.3,X,13.6,X
Dipayal ( Doti ),30.7,0.6,15,0.6,23.5,0.1,6.8,0.8,33.7,0.4,15.2,0,35.5,1.2,24,0.9,30,0.6,14,0.6
Jumla,21.6,1.2,3.8,0,15.9,0.9,-4.1,0.1,22.2,0.8,3.6,-0.3,26.3,1.3,14.4,0.3,21.9,1.6,1.3,-0.1
Gam Shree Nagar,X,X,X,X,18.1,X,7.1,X,X,X,X,X,X,X,X,X,X,X,X,X
Magma,X,X,X,X,X,X,X,X,24.2,X,6,X,29.2,X,9.2,X,22.2,X,5.3,X
Dunai,19.5,-3.3,7.6,-0.3,8.2,X,-0.7,-0.9,22.5,-2.1,7.5,-0.1,27.9,0,16.9,0.1,19.6,-2,6.7,-0.5
Dailekh,25.2,1.1,13.4,1.2,18.9,1.8,6.9,0.6,29.2,1.5,14.5,0.4,28.8,0.1,19.6,2.3,23.9,1.1,12.6,1.6
Jajarkot,26.5,X,X,X,21.6,X,7.2,X,28.9,X,14.4,X,29.4,X,20.7,X,26,X,X,X
